VERBOS COM O KANJI,PORTUGUES,INGLES,VERBOS SEM O KANJI(ます),RADICAL,GRUPO,DIC,NEG(ない),IMP(て),PRET(た),VOLITI (QUERER OU DESEJAR),CAUS (DEIXE_ME ...),FORMATOCAUSATIVO,IMPERATIVA/PROIBITIVA,NEGで,CONDICIONAL(SE ....),POSSO ....,DEVE SER FEITO,TER EXPERIÊNCIA,"V-ME (FAÇA-ME,COMPRE-ME,...)"
会います,encontrar,to meet,あいます,あい,（１）,あう,あわない,あって,あった,あお,あわせます,（FORMA - ない）せます,あえ,あわないで,あえば,あってもいです（か）,あわないと（いけない）,あったことがある？（ます（か））,あってきて
遊びます,brincar,to play,あそびます,あそび,（１）,あそぶ,あそばない,あそんで,あそんだ,あそぼ,あそばせます,（FORMA - ない）せます,あそべ,あそばないで,あそべば,あそんでもいです（か）,あそばないと（いけない）,あそんだことがある？（ます（か））,あそんできて
洗います,lavar,to wash,あらいます,あらい,（１）,あらう,あらわない,あらって,あらった,あらお,あらわせます,（FORMA - ない）せます,あらえ,あらわないで,あらえば,あらってもいです（か）,あらわないと（いけない）,あらったことがある？（ます（か））,あらってきて
あります,existir (coisas),to exist (things),あります,あり,（１）,ある,ない,あって,あった,あろ,せます,（FORMA - ない）せます,あれ,ないで,あれば,あってもいです（か）,ないと（いけない）,あったことがある？（ます（か））,あってきて
あります,existir (coisas),to exist (things),あります,あり,（１）,ある,ない,あって,あった,あろ,せます,（FORMA - ない）せます,あれ,ないで,あれば,あってもいです（か）,ないと（いけない）,あったことがある？（ます（か））,あってきて
あります　「おまつりが～」,"haver (evento, ex: festival)",to be held (a festival),あります,あり,（１）,ある,ない,あって,あった,あろ,せます,（FORMA - ない）せます,あれ,ないで,あれば,あってもいです（か）,ないと（いけない）,あったことがある？（ます（か））,あってきて
歩きます,andar,to walk,あるきます,あるき,（１）,あるきます,あるかない,あるいて,あるいた,あるこ,あるかせます,（FORMA - ない）せます,あるげ,あるかないで,あるげば,あるいてもいです（か）,あるかないと（いけない）,あるいたことがある？（ます（か））,あるいてきて
言います,dizer,to say,いいます,いい,（１）,いう,いわない,いって,いった,いお,いわせます,（FORMA - ない）せます,いえ,いわないで,いえば,いってもいです（か）,いわないと（いけない）,いったことがある？（ます（か））,いってきて
行きます,ir,to go,いきます,いき,（１）,いく,いかない,いって,いった,いこ,いかせます,（FORMA - ない）せます,いけ,いかないで,いけば,いってもいです（か）,いかないと（いけない）,いったことがある？（ます（か））,いってきて
急ぎます,apressar-se,to hurry,いそぎます,いそぎ,（１）,いそぐ,いそがない,いそいで,いそいだ,いそご,いそがせます,（FORMA - ない）せます,いそげ,いそがないで,いそげば,いそいでもいです（か）,いそがないと（いけない）,いそいだことがある？（ます（か））,いそいできて
要ります　「ビザが～」,precisar (de visto),to need (visa),いります,いり,（１）,いる,いらない,いって,いった,いろ,いらせます,（FORMA - ない）せます,いれ,いらないで,いれば,いってもいです（か）,いらないと（いけない）,いったことがある？（ます（か））,いってきて
動きます,mover-se,to move,うごきます,うごき,（１）,うごく,うごかない,うごいて,うごいた,うごこ,うごかせます,（FORMA - ない）せます,うごけ,うごかないで,うごけば,うごいてもいです（か）,うごかないと（いけない）,うごいたことがある？（ます（か））,うごいてきて
歌います,cantar,to sing,うたいます,うたい,（１）,うたう,うたわない,うたって,うたった,うたお,うたわせます,（FORMA - ない）せます,うたえ,うたわないで,うたえば,うたってもいです（か）,うたわないと（いけない）,うたったことがある？（ます（か））,うたってきて
売ります,vender,to sell,うります,うり,（１）,うる,うらない,うって,うった,うろ,うらせます,（FORMA - ない）せます,うれ,うらないで,うれば,うってもいです（か）,うらないと（いけない）,うったことがある？（ます（か））,うってきて
置きます,colocar,to put/place,おきます,おき,（１）,おく,おかない,おいて,おいた,おこ,おかせます,（FORMA - ない）せます,おけ,おかないで,おけば,おいてもいです（か）,おかないと（いけない）,おいたことがある？（ます（か））,おいてきて
送ります,enviar,to send,おくります,おくり,（１）,おくる,おくらない,おくって,おくった,おくろ,おくらせます,（FORMA - ない）せます,おくれ,おくらないで,おくれば,おくってもいです（か）,おくらないと（いけない）,おくったことがある？（ます（か））,おくってきて
送ります「ひとを～」,acompanhar (alguém),to see someone off,おくります,おくり,（１）,おくる,おくらない,おくって,おくった,おくろ,おくらせます,（FORMA - ない）せます,おくれ,おくらないで,おくれば,おくってもいです（か）,おくらないと（いけない）,おくったことがある？（ます（か））,おくってきて
押します,empurrar,to push,おします,おし,（１）,おす,おさない,おして,おした,おそ,おさせます,（FORMA - ない）せます,おせ,おさないで,おせば,おしてもいです（か）,おさないと（いけない）,おしたことがある？（ます（か））,おしてきて
思い出します,lembrar,to recall,おもいだします,おもいだし,（１）,おもいだす,おもいださない,おもいだして,おもいだした,おもいだそ,おもいださせます,（FORMA - ない）せます,おもいだせ,おもいださないで,おもいだせば,おもいだしてもいです（か）,おもいださないと（いけない）,おもいだしたことがある？（ます（か））,おもいだしてきて
思います,achar / pensar,to think,おもいます,おもい,（１）,おもう,おもわない,おもって,おもった,おもお,おもわせます,（FORMA - ない）せます,おもえ,おもわないで,おもえば,おもってもいです（か）,おもわないと（いけない）,おもったことがある？（ます（か））,おもってきて
